25532143;41.17302;-8.594707;-0.1500059;0.7186047
25532144;41.17266;-8.594761;-0.1500069;0.7185984
25532145;41.17228;-8.594697;-0.1500058;0.7185917
25532146;41.17189;-8.594493;-0.1500022;0.7185851
25532177;41.17164;-8.594307;-0.1499989;0.7185807
25532181;41.17165;-8.596414;-0.1500357;0.7185809
25532183;41.17147;-8.596746;-0.1500415;0.7185777
25532189;41.17156;-8.595633;-0.1500221;0.7185792
25532193;41.1727;-8.595051;-0.1500119;0.7185992
25532195;41.17331;-8.594783;-0.1500073;0.7186098
25532197;41.1732;-8.594965;-0.1500104;0.7186079
25532199;41.1727;-8.595308;-0.1500164;0.7185991
25532200;41.1724;-8.595609;-0.1500217;0.7185939
25532201;41.17213;-8.596005;-0.1500286;0.7185892
25532202;41.17196;-8.596435;-0.1500361;0.7185863
25532203;41.17183;-8.597111;-0.1500479;0.7185839
25532204;41.17141;-8.597669;-0.1500576;0.7185767
25532205;41.17141;-8.597282;-0.1500509;0.7185767
25532210;41.17152;-8.595517;-0.1500201;0.7185786
25532211;41.17212;-8.595158;-0.1500138;0.7185889
25532212;41.17245;-8.59504;-0.1500117;0.7185948
25532222;41.17212;-8.595276;-0.1500159;0.7185891
26015879;41.17133;-8.593912;-0.1499921;0.7185752
26015881;41.17167;-8.594513;-0.1500026;0.7185813
26015882;41.17149;-8.594512;-0.1500025;0.718578
26015883;41.17185;-8.594957;-0.1500103;0.7185843
26015884;41.17168;-8.595037;-0.1500117;0.7185814
26015885;41.17195;-8.595536;-0.1500204;0.718586
26015886;41.17177;-8.595554;-0.1500207;0.7185829
26015887;41.17192;-8.596149;-0.1500311;0.7185855
26015888;41.17174;-8.596121;-0.1500306;0.7185824
26015889;41.17181;-8.596978;-0.1500456;0.7185836
26015890;41.17163;-8.596927;-0.1500447;0.7185805
26015891;41.17141;-8.598987;-0.1500806;0.7185766
26015897;41.17132;-8.601276;-0.1501206;0.7185751
26015899;41.17165;-8.604239;-0.1501723;0.7185808
26015900;41.17147;-8.604276;-0.1501729;0.7185777
26057769;41.18039;-8.594508;-0.1500025;0.7187334
26057772;41.18012;-8.594251;-0.149998;0.7187287
26057774;41.18007;-8.593801;-0.1499901;0.7187278
26057776;41.18018;-8.593471;-0.1499844;0.7187297
26057858;41.17974;-8.592932;-0.149975;0.7187221
26122713;41.1741;-8.594269;-0.1499983;0.7186235
26122714;41.17415;-8.594494;-0.1500022;0.7186245
26122715;41.17529;-8.593709;-0.1499885;0.7186444
26122716;41.17534;-8.593939;-0.1499925;0.7186453
26122717;41.17602;-8.59348;-0.1499845;0.7186571
26122718;41.17673;-8.593357;-0.1499824;0.7186695
26122719;41.17731;-8.593266;-0.1499808;0.7186796
26122720;41.18002;-8.592981;-0.1499758;0.718727
26122786;41.17949;-8.593282;-0.1499811;0.7187178
26122787;41.17729;-8.593524;-0.1499853;0.7186793
26122788;41.1767;-8.593575;-0.1499862;0.7186689
26122789;41.17606;-8.593714;-0.1499886;0.7186577
112597522;41.17142;-8.597487;-0.1500545;0.7185768
112597525;41.17133;-8.597144;-0.1500485;0.7185753
112597547;41.17136;-8.596827;-0.1500429;0.7185757
112597549;41.17159;-8.596595;-0.1500389;0.7185797
112652825;41.18039;-8.593316;-0.1499817;0.7187334
112652828;41.18013;-8.593625;-0.1499871;0.7187288
112652829;41.18006;-8.59402;-0.1499939;0.7187276
112652830;41.18023;-8.594398;-0.1500005;0.7187306
128586501;41.17211;-8.604615;-0.1501789;0.7185889
128587399;41.17139;-8.601242;-0.15012;0.7185763
128587401;41.17148;-8.601594;-0.1501261;0.7185779
128587402;41.17155;-8.601877;-0.1501311;0.7185792
128587405;41.17163;-8.602075;-0.1501345;0.7185804
128587408;41.17168;-8.602324;-0.1501389;0.7185814
128587410;41.17173;-8.602718;-0.1501458;0.7185823
128587416;41.17178;-8.603105;-0.1501525;0.7185831
128588839;41.17179;-8.603319;-0.1501562;0.7185834
128588840;41.17182;-8.603534;-0.15016;0.7185838
128588844;41.17184;-8.603714;-0.1501631;0.7185842
128588845;41.17192;-8.603843;-0.1501654;0.7185857
128588848;41.17204;-8.603929;-0.1501669;0.7185876
128588850;41.1722;-8.604006;-0.1501682;0.7185904
128588853;41.17235;-8.6041;-0.1501699;0.7185931
128588856;41.17248;-8.604229;-0.1501721;0.7185953
128588858;41.17257;-8.604392;-0.150175;0.7185969
